time,velocity
11.9055,1.716321
11.9275,1.828419
11.95037,1.887103
11.97487,1.951635
11.9946,1.969613
12.01701,2.000502
12.0392,1.990363
12.06172,1.947191
12.08437,1.928178
12.10635,1.878908
12.12988,1.805988
12.15098,1.766116
12.17289,1.702789
12.19593,1.682255
12.21806,1.686992
12.24035,1.712107
12.26233,1.753308
12.28571,1.816478
12.30736,1.83575
12.32944,1.870791
12.35213,1.916476
12.37454,1.91981
12.39693,1.915663
12.41899,1.953573
12.4418,1.959005
12.46385,1.979917
12.48653,1.988188
12.50824,2.035075
12.53108,2.097794
12.55314,2.163414
12.57538,2.178564
12.59954,2.21301
12.62016,2.252198
12.64246,2.244376
12.66453,2.197859
12.6878,2.172503
12.70985,2.113042
12.73192,2.078682
12.75468,2.014346
12.77649,1.927231
12.79893,1.874107
12.82133,1.807602
12.84396,1.724052
12.8659,1.677017
12.8877,1.60945
12.91092,1.526452
12.93326,1.432406
12.95529,1.330304
12.97788,1.170541
12.99999,1.116808
13.02252,1.042429
13.04452,0.9816814
13.06862,0.9653944
13.08895,0.9861587
13.11287,1.03733
13.13416,1.120848
13.15612,1.219706
13.17834,1.338598
13.20098,1.461535
13.22476,1.588409
13.24529,1.723454
13.26842,1.903426
13.29061,2.015201
13.31321,2.130469
13.33627,2.264181
13.35707,2.383745
13.38087,2.522954
13.40117,2.69319
13.42452,2.792877
13.44598,2.877484
13.46865,3.005597
13.49081,3.106681
13.51344,3.184893
13.53562,3.252211
13.55795,3.249603
13.5801,3.240528
13.60307,3.226936
13.62456,3.168434
13.64812,3.116256
13.66971,3.019255
13.69267,2.937772
13.71443,2.820146
13.73676,2.72623
13.75878,2.662054
13.78254,2.562565
13.8037,2.487077
13.82666,2.432733
13.84969,2.34486
13.87104,2.283396
13.89409,2.244363
13.91572,2.17333
13.93787,2.137342
13.95989,2.121543
13.98339,2.070734
14.00506,2.044071
14.02713,2.036308
14.04924,1.993135
14.0733,1.923149
14.09481,1.882825
14.1176,1.817084
14.13971,1.731903
14.16167,1.632488
14.18385,1.523273
14.20542,1.40806
14.22767,1.289994
14.25154,1.171699
14.27327,1.055282
14.29492,0.9424481
14.31828,0.885407
14.33986,0.8236505
14.3628,0.8100687
14.3854,0.7848331
14.40741,0.7506055
14.42898,0.7632979
14.45154,0.7688912
14.47431,0.8115693
14.49643,0.8318885
14.51938,0.884632
14.54069,0.9125691
14.56377,0.9191624
14.58615,0.9592671
14.60799,0.9748999
14.63127,1.020595
14.6525,1.089826
14.67495,1.126017
14.69795,1.245243
14.71953,1.370854
14.74181,1.54865
14.76474,1.716575
14.78687,1.907998
14.80938,2.112365
14.83187,2.291716
14.85406,2.448767
14.87603,2.591921
14.89988,2.712122
14.92042,2.811029
14.94304,2.900315
14.96498,2.972042
14.98845,3.028043
15.0098,3.070401
15.03274,3.05909
15.05431,3.047073
15.0768,3.061988
15.09922,3.103962
15.12158,3.082705
15.14386,3.062212
15.16795,3.014934
15.18839,3.001992
15.21096,2.989639
15.23409,2.952766
15.25679,2.928397
15.27782,2.91338
15.30144,2.956555
15.32328,2.989732
15.34567,3.022299
15.36823,3.046482
15.38966,3.013315
15.41322,2.933494
15.43467,2.817292
15.45747,2.724571
15.47976,2.653244
15.50177,2.549063
15.52483,2.47004
15.54746,2.421359
15.56936,2.389515
15.59163,2.371911
15.61358,2.366854
15.63684,2.328404
15.65724,2.306481
15.68069,2.248198
15.70256,2.161492
15.7258,2.05329
15.74738,1.929189
15.7704,1.7944
15.79243,1.704595
15.81462,1.601898
15.83668,1.490582
15.85877,1.374221
15.88261,1.255831
15.90485,1.188764
15.92629,1.113555
15.94898,1.083964
15.97291,1.042722
15.9937,1.041892
16.01538,1.022913
16.03801,1.099227
16.06094,1.191865
16.08323,1.303923
16.10513,1.422664
16.12677,1.493093
16.15059,1.524094
16.17213,1.572565
16.19477,1.635092
16.21718,1.707905
16.23925,1.795333
16.26068,1.885502
16.28412,1.976294
16.30549,2.073694
16.32829,2.167033
16.35093,2.204579
16.37227,2.195493
16.39482,2.200448
16.41761,2.165434
16.43913,2.149549
16.46118,2.09817
16.48419,2.07058
16.50692,2.011874
16.52906,1.979865
16.55215,1.926746
16.57305,1.900756
16.59661,1.897203
16.61846,1.911888
16.63985,1.948665
16.66374,1.943414
16.6852,1.965093
16.70794,1.947384
16.73016,1.899004
16.75181,1.825696
16.77442,1.734252
16.79628,1.629522
16.8202,1.566932
16.84191,1.488887
16.86508,1.399336
16.88641,1.353841
16.90891,1.344078
16.93163,1.313308
16.95373,1.316194
16.97729,1.295403
16.99919,1.255801
17.02049,1.251786
17.0437,1.226555
17.06643,1.184567
17.08821,1.1888
17.11062,1.171339
17.13272,1.187494
17.15468,1.180475
17.17773,1.204926
17.20074,1.277509
17.2216,1.312059
17.24446,1.434376
17.26659,1.481093
17.28842,1.649228
17.31057,1.807295
17.33408,2.085483
17.35571,2.18406
17.37779,2.274897
17.39999,2.324621
17.42267,2.394129
17.44544,2.376932
17.46801,2.371731
17.48952,2.325113
17.51215,2.297365
17.53454,2.233746
17.55705,2.220673
17.57965,2.246098
17.60225,2.284492
17.62419,2.325516
17.64572,2.418844
17.6688,2.502067
17.69104,2.532542
17.71349,2.511972
17.73548,2.451186
17.75766,2.409739
17.78131,2.33384
17.80315,2.282213
17.82468,2.251138
17.84744,2.237284
17.86961,2.295245
17.89116,2.35371
17.91464,2.417455
17.93655,2.477465
17.9587,2.533404
17.98187,2.534193
18.00377,2.491064
18.02635,2.463226
18.04877,2.397389
18.07158,2.301946
18.09355,2.235061
18.11702,2.140844
18.13756,2.05303
18.15975,1.969205
18.18282,1.923611
